system,group,symbol,f_vector,status,our_menu_type_ids,our_P2_type_ids,our_menu_c_over_a,his_row_count,his_b_ratios,his_points,his_block
cubic,195,P23,"(5,8,5)",a_ours_in_his,42bc5c5af1f296ae,,,1,,,195
cubic,195,P23,"(5,9,6)",c_his_not_ours_not_stored,,,,1,,,195
cubic,195,P23,"(6,11,7)",c_his_not_ours_not_stored,,,,1,,,195
cubic,195,P23,"(6,12,8)",a_ours_in_his,3cb6c70abd57e0b9,,,1,,,195
cubic,195,P23,"(8,12,6)",a_ours_in_his,e3faf0283734fac7,,,1,,,195
cubic,195,P23,"(8,13,7)",c_his_not_ours_not_stored,,,,1,,,195
cubic,195,P23,"(8,16,10)",a_ours_in_his,3d1a3ee0cfdc0206,,,1,,,195
cubic,195,P23,"(14,24,12)",a_ours_in_his,1da02fe6c7c6eb73,,,1,,,195
cubic,195,P23,"(16,27,13)",a_ours_in_his,7d9cb42d3e017b02,,,1,,,195
cubic,196,F23,"(5,8,5)",c_his_not_ours_not_stored,,,,1,,,196
cubic,196,F23,"(6,12,8)",a_ours_in_his,3cb6c70abd57e0b9,,,1,,,196
cubic,196,F23,"(8,12,6)",a_ours_in_his,e3faf0283734fac7,,,1,,,196
cubic,196,F23,"(8,16,10)",a_ours_in_his,3d1a3ee0cfdc0206,,,1,,,196
cubic,196,F23,"(14,24,12)",a_ours_in_his,1da02fe6c7c6eb73,,,1,,,196
cubic,197,I23,"(4,6,4)",a_ours_in_his,e1c6bb874212013b,,,1,,,197
cubic,197,I23,"(5,9,6)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(6,12,8)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(7,15,10)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(8,12,6)",a_ours_in_his,e3faf0283734fac7,,,1,,,197
cubic,197,I23,"(8,15,9)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(9,17,10)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(10,17,9)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(10,18,10)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(10,20,12)",a_ours_in_his,9effc8684d8a0250,,,1,,,197
cubic,197,I23,"(11,19,10)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(12,19,9)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(12,20,10)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(13,22,11)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(13,23,12)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(14,23,11)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(14,25,13)",a_ours_in_his,d5455821196c461d,,,1,,,197
cubic,197,I23,"(15,26,13)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(17,28,13)",a_ours_in_his,a3164ecfcd75d3ec,,,1,,,197
cubic,197,I23,"(18,29,13)",a_ours_in_his,63fe22ddbb5dc8f2,,,1,,,197
cubic,197,I23,"(20,32,14)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(20,33,15)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(22,35,15)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(24,36,14)",a_ours_in_his,31d09faf7fb2bf6f,,,1,,,197
cubic,197,I23,"(24,38,16)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(24,39,17)",c_his_not_ours_not_stored,,,,1,,,197
cubic,197,I23,"(26,39,15)",a_ours_in_his,1148b1810c34b982,,,1,,,197
cubic,198,P2_13,"(8,14,8)",c_his_not_ours_not_stored,,,,1,,,198
cubic,198,P2_13,"(11,21,12)",c_his_not_ours_not_stored,,,,1,,,198
