system,group,symbol,f_vector,status,our_menu_type_ids,our_P2_type_ids,our_menu_c_over_a,his_row_count,his_b_ratios,his_points,his_block,readonly_180_stored_ids
hexagonal,143,P3,"(8,12,6)",c_his_not_ours_P2_reproduced,,e3faf0283734fac7,,1,3497/1000,"(1/6,0,0)",143,
hexagonal,143,P3,"(12,18,8)",a_ours_in_his,fd9a9f68ec1db422,fd9a9f68ec1db422,1/2;527/1000;3/4;797/1000;4/5;7/8;1;5/4;3/2;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,3497/1000,"(0,0,0)",143,
hexagonal,144,P3_1,"(12,18,8)",c_his_not_ours_P2_reproduced,,fd9a9f68ec1db422,,1,3497/1000,"(0,0,0)",144_145,
hexagonal,144,P3_1,"(14,24,12)",c_his_not_ours_P2_reproduced,,1da02fe6c7c6eb73,,1,3497/1000,"(1/6,1/6,0)",144_145,
hexagonal,144,P3_1,"(18,28,12)",c_his_not_ours_P2_reproduced,,1d2c47d061a6ab6c,,1,3497/1000,"(1997/11988,1997/11988,0)",144_145,
hexagonal,144,P3_1,"(24,36,14)",a_ours_in_his,31d09faf7fb2bf6f;e948828e76447bbb,e948828e76447bbb,1/2;527/1000;2331/4000;9547/16000;3/4;797/1000;4/5;7/8;15/16;31/32;63/64;41/32;21/16;11/8;89/64;45/32;23/16;3/2;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,3497/1000,"(1/6,0,0)",144_145,
hexagonal,144,P3_1,"(25,39,16)",c_his_not_ours_P2_reproduced,,17fafcdfaa897d65,,1,1/2,"(29/324,25/108,0)",144_145,
hexagonal,144,P3_1,"(26,40,16)",c_his_not_ours_P2_reproduced,,4a31af4ea18688a8,,1,797/1000,"(35/666,35/666,0)",144_145,
hexagonal,144,P3_1,"(28,42,16)",a_ours_in_his,bff9b24ce78050f5;c0071756347c5a8a,1a36f90bbc759307,977/1600;1277/2000;2777/4000;5777/8000;11777/16000;117/128;59/64;15/16;127/128;1;33/32;67/64;17/16;73/64;37/32;19/16,1,797/1000,"(1/6,0,0)",144_145,
hexagonal,144,P3_1,"(32,48,18)",a_ours_in_his,a93f8fe7ecdc5851;a99e46dd535bab3b;e5760549017956be;e598ffd8a1cac138,a99e46dd535bab3b,3/4;797/1000;4/5;67/80;137/160;277/320;115/128;29/32;17/16;69/64;35/32;9/8;77/64;39/32;5/4;81/64;11/8,1,797/1000,"(11/111,15/74,0)",144_145,
hexagonal,144,P3_1,"(36,54,20)",a_ours_in_his,6dba530a0828bdcf,6dba530a0828bdcf,557/640;7/8;57/64;69/64;35/32;71/64,1,797/1000,"(9/148,1/12,0)",144_145,
hexagonal,145,P3_2,"(12,18,8)",c_his_not_ours_P2_reproduced,,fd9a9f68ec1db422,,1,3497/1000,"(0,0,0)",144_145,
hexagonal,145,P3_2,"(14,24,12)",c_his_not_ours_P2_reproduced,,1da02fe6c7c6eb73,,1,3497/1000,"(1/6,1/6,0)",144_145,
hexagonal,145,P3_2,"(18,28,12)",c_his_not_ours_P2_reproduced,,1d2c47d061a6ab6c,,1,3497/1000,"(1997/11988,1997/11988,0)",144_145,
hexagonal,145,P3_2,"(24,36,14)",a_ours_in_his,31d09faf7fb2bf6f;e948828e76447bbb,e948828e76447bbb,1/2;527/1000;2331/4000;9547/16000;3/4;797/1000;4/5;7/8;15/16;31/32;63/64;41/32;21/16;11/8;89/64;45/32;23/16;3/2;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,3497/1000,"(1/6,0,0)",144_145,
hexagonal,145,P3_2,"(25,39,16)",c_his_not_ours_P2_reproduced,,17fafcdfaa897d65,,1,1/2,"(29/324,25/108,0)",144_145,
hexagonal,145,P3_2,"(26,40,16)",c_his_not_ours_P2_reproduced,,4a31af4ea18688a8,,1,797/1000,"(35/666,35/666,0)",144_145,
hexagonal,145,P3_2,"(28,42,16)",a_ours_in_his,bff9b24ce78050f5;c0071756347c5a8a,1a36f90bbc759307,977/1600;1277/2000;2777/4000;5777/8000;11777/16000;117/128;59/64;15/16;127/128;1;33/32;67/64;17/16;73/64;37/32;19/16,1,797/1000,"(1/6,0,0)",144_145,
hexagonal,145,P3_2,"(32,48,18)",a_ours_in_his,a93f8fe7ecdc5851;a99e46dd535bab3b;e5760549017956be;e598ffd8a1cac138,a99e46dd535bab3b,3/4;797/1000;4/5;67/80;137/160;277/320;115/128;29/32;17/16;69/64;35/32;9/8;77/64;39/32;5/4;81/64;11/8,1,797/1000,"(11/111,15/74,0)",144_145,
hexagonal,145,P3_2,"(36,54,20)",a_ours_in_his,6dba530a0828bdcf,6dba530a0828bdcf,557/640;7/8;57/64;69/64;35/32;71/64,1,797/1000,"(9/148,1/12,0)",144_145,
hexagonal,146,R3,"(8,14,8)",c_his_not_ours_P2_reproduced,,a53e946faf92e440,,1,3497/1000,"(1/6,0,0)",146,
hexagonal,146,R3,"(12,18,8)",c_his_not_ours_P2_reproduced,,fd9a9f68ec1db422,,1,3497/1000,"(1/6,1/6,0)",146,
hexagonal,146,R3,"(12,22,12)",c_his_not_ours_P2_reproduced,,6f204b14872fdfe3,,1,1/2,"(5/36,5/36,0)",146,
hexagonal,146,R3,"(14,24,12)",a_ours_in_his,1da02fe6c7c6eb73;78e755ffdff3a2f5,1da02fe6c7c6eb73,3/4;79/64;5/4;3/2;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,3497/1000,"(0,0,0)",146,
hexagonal,146,R3,"(15,25,12)",c_his_not_ours_P2_reproduced,,7c5765ace464e6b6,,1,3497/1000,"(5/37,6/37,0)",146,
hexagonal,146,R3,"(17,29,14)",c_his_not_ours_P2_reproduced,,7428f5eb10a71c18,,1,1/2,"(1769/11988,659/3996,0)",146,
hexagonal,146,R3,"(18,30,14)",a_ours_in_his,7b9cfe26fe4a9c4b;c97273f4df7f3fdc,c97273f4df7f3fdc,12047/16000;6047/8000;3047/4000;1547/2000;797/1000;4/5;7/8;1;69/64;35/32;9/8;5/4;3/2;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,3497/1000,"(250/2997,749/2997,0)",146,
hexagonal,146,R3,"(19,29,12)",a_ours_in_his,d0a0a455a34f3fcb,d0a0a455a34f3fcb,1/2;527/1000,1,797/1000,"(7/162,7/54,0)",146,
hexagonal,146,R3,"(19,31,14)",c_his_not_ours_P2_reproduced,,fc618cb567c84764,,1,1/2,"(1/9,1/6,0)",146,
hexagonal,146,R3,"(20,32,14)",a_ours_in_his,7fc05363d689d31c,7fc05363d689d31c,1/2;527/1000;1277/2000;2777/4000;557/640;7/8;1;65/64,1,797/1000,"(227/1998,53/333,0)",146,
hexagonal,146,R3,"(21,33,14)",c_his_not_ours_P2_reproduced,,4b7239e30e871c23,,1,797/1000,"(575/11988,575/3996,0)",146,
hexagonal,146,R3,"(22,36,16)",a_ours_in_his,01a494d767bd713c,01a494d767bd713c,17/16,1,797/1000,"(461/3996,205/1332,0)",146,
hexagonal,146,R3,"(23,35,14)",a_ours_in_his,f73b315d6a9ed826,f73b315d6a9ed826,1731/3200;4439/8000;2331/4000;1277/2000;3/4;797/1000;4/5;131/160;53/64,1,797/1000,"(941/11988,421/3996,0)",146,
hexagonal,146,R3,"(23,37,16)",c_his_not_ours_P2_reproduced,,95e7df21264304b5,,1,1/2,"(1573/11988,1757/11988,0)",146,
hexagonal,146,R3,"(24,36,14)",a_ours_in_his,31d09faf7fb2bf6f,31d09faf7fb2bf6f,1/2;527/1000;3/4;797/1000;4/5;7/8;1;9/8;19/16;39/32,1,797/1000,"(0,0,0)",146,
hexagonal,146,R3,"(24,38,16)",a_ours_in_his,3a491fd6426d90b2;efc24204486dde03,efc24204486dde03,11331/16000;5777/8000;11777/16000;33/32;67/64,1,797/1000,"(250/2997,749/2997,0)",146,
hexagonal,146,R3,"(27,41,16)",a_ours_in_his,75bbbcb4a37e70e8,cc73376b3d575c00,533/640;67/80;137/160;277/320,1,797/1000,"(575/5994,32/333,0)",146,
hexagonal,146,R3,"(28,44,18)",c_his_not_ours_P2_reproduced,,a2f5f4ffb510b7f6,,1,527/1000,"(1529/11988,577/3996,0)",146,
hexagonal,146,R3,"(31,47,18)",c_his_not_ours_P2_reproduced,,02ec6b35a9d3cdbc,,1,797/1000,"(31/324,385/3996,0)",146,
