system,group,symbol,f_vector,status,our_menu_type_ids,our_P2_type_ids,our_menu_c_over_a,his_row_count,his_b_ratios,his_points,his_block
tetragonal,75,P4,"(6,9,5)",c_his_not_ours_P2_reproduced,,a1053191a6317676,,1,1/2,"(706/1413,0,0)",75
tetragonal,75,P4,"(8,12,6)",a_ours_in_his,e3faf0283734fac7,e3faf0283734fac7,1/2;3/4;797/1000;4/5;1;5/4;7/5;3/2;38/25;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,1/2,"(0,0,0)",75
tetragonal,75,P4,"(10,15,7)",a_ours_in_his,52392121966e66eb,52392121966e66eb,1/2;3/4;797/1000;4/5;1;5/4;7/5;3/2;38/25;7/4;2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,1/2,"(2825/5652,-1/5652,0)",75
tetragonal,76,P4_1,"(8,12,6)",c_his_not_ours_P2_reproduced,,e3faf0283734fac7,,1,3497/1000,"(0,0,0)",76_78
tetragonal,76,P4_1,"(8,14,8)",c_his_not_ours_P2_reproduced,,11ee80fc3799d1eb,,1,2,"(1/4,-1/4,0)",76_78
tetragonal,76,P4_1,"(12,18,8)",c_his_not_ours_P2_reproduced,,abfdf73c2f298784,,1,3497/1000,"(1/4,-1/4,0)",76_78
tetragonal,76,P4_1,"(14,24,12)",c_his_not_ours_P2_reproduced,,1da02fe6c7c6eb73,,1,2,"(27/148,23/148,0)",76_78
tetragonal,76,P4_1,"(18,28,12)",a_ours_in_his,c1824c64dfbb3615,c1824c64dfbb3615,2;9/4;5/2;11/4;3;13/4;3497/1000;7/2,1,3497/1000,"(1/2,0,0)",76_78
tetragonal,76,P4_1,"(24,36,14)",a_ours_in_his,31d09faf7fb2bf6f,31d09faf7fb2bf6f,109/80;7/5;3/2;38/25;7/4;2;9/4;5/2;21/8;43/16,1,797/1000,"(1/2,0,0)",76_78
tetragonal,76,P4_1,"(24,38,16)",c_his_not_ours_P2_reproduced,,a3a8447783e42486,,1,797/1000,"(173/3996,173/3996,0)",76_78
tetragonal,76,P4_1,"(28,42,16)",a_ours_in_his,33f2ba7ec7b99fa4;c7bba76d2396a322,c7bba76d2396a322,1/2;3/4;6047/8000;12141/16000;797/1000;4/5;13/16;77/64;39/32;5/4;53/40;43/32;433/320;677/400;7/4,1,797/1000,"(1079/3996,919/3996,0)",76_78
